Difficulty,Title,Frequency,Acceptance Rate,Link,Topics
EASY,Convert Sorted Array to Binary Search Tree,0,0.741,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree,"Array, Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
MEDIUM,Capacity To Ship Packages Within D Days,0,0.723,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days,"Array, Binary Search"
MEDIUM,House Robber III,0,0.55,https://leetcode.com/problems/house-robber-iii,"Dynamic Programming, Tree, Depth-First Search, Binary Tree"
MEDIUM,Beautiful Arrangement,0,0.645,https://leetcode.com/problems/beautiful-arrangement,"Array, Dynamic Programming, Backtracking, Bit Manipulation, Bitmask"
HARD,Number of Possible Sets of Closing Branches,0,0.486,https://leetcode.com/problems/number-of-possible-sets-of-closing-branches,"Bit Manipulation, Graph, Heap (Priority Queue), Enumeration, Shortest Path"
HARD,Strange Printer,0,0.608,https://leetcode.com/problems/strange-printer,"String, Dynamic Programming"
HARD,Shortest Common Supersequence,0,0.614,https://leetcode.com/problems/shortest-common-supersequence,"String, Dynamic Programming"
EASY,Two Sum,0,0.5589999999999999,https://leetcode.com/problems/two-sum,"Array, Hash Table"
HARD,Maximum Height by Stacking Cuboids,0,0.602,https://leetcode.com/problems/maximum-height-by-stacking-cuboids,"Array, Dynamic Programming, Sorting"
EASY,Flood Fill,0,0.6659999999999999,https://leetcode.com/problems/flood-fill,"Array, Depth-First Search, Breadth-First Search, Matrix"
MEDIUM,Design Circular Deque,0,0.644,https://leetcode.com/problems/design-circular-deque,"Array, Linked List, Design, Queue"
HARD,Frog Jump,0,0.466,https://leetcode.com/problems/frog-jump,"Array, Dynamic Programming"
MEDIUM,My Calendar II,0,0.623,https://leetcode.com/problems/my-calendar-ii,"Array, Binary Search, Design, Segment Tree, Prefix Sum, Ordered Set"
MEDIUM,Asteroid Collision,0,0.456,https://leetcode.com/problems/asteroid-collision,"Array, Stack, Simulation"
EASY,Diameter of Binary Tree,0,0.637,https://leetcode.com/problems/diameter-of-binary-tree,"Tree, Depth-First Search, Binary Tree"
HARD,Stickers to Spell Word,0,0.501,https://leetcode.com/problems/stickers-to-spell-word,"Array, Hash Table, String, Dynamic Programming, Backtracking, Bit Manipulation, Memoization, Bitmask"
MEDIUM,Detect Cycles in 2D Grid,0,0.505,https://leetcode.com/problems/detect-cycles-in-2d-grid,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,Sudoku Solver,0,0.64,https://leetcode.com/problems/sudoku-solver,"Array, Hash Table, Backtracking, Matrix"
MEDIUM,All Nodes Distance K in Binary Tree,0,0.665,https://leetcode.com/problems/all-nodes-distance-k-in-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Rotate Image,0,0.78,https://leetcode.com/problems/rotate-image,"Array, Math, Matrix"
MEDIUM,Surrounded Regions,0,0.43,https://leetcode.com/problems/surrounded-regions,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
MEDIUM,Longest Substring Without Repeating Characters,0,0.37,https://leetcode.com/problems/longest-substring-without-repeating-characters,"Hash Table, String, Sliding Window"
MEDIUM,Diagonal Traverse,0,0.632,https://leetcode.com/problems/diagonal-traverse,"Array, Matrix, Simulation"
MEDIUM,Task Scheduler,0,0.616,https://leetcode.com/problems/task-scheduler,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue), Counting"
EASY,Maximum Depth of Binary Tree,0,0.772,https://leetcode.com/problems/maximum-depth-of-binary-tree,"Tree, Depth-First Search, Breadth-First Search, Binary Tree"
MEDIUM,Reduce Array Size to The Half,0,0.691,https://leetcode.com/problems/reduce-array-size-to-the-half,"Array, Hash Table, Greedy, Sorting, Heap (Priority Queue)"
HARD,Critical Connections in a Network,0,0.579,https://leetcode.com/problems/critical-connections-in-a-network,"Depth-First Search, Graph, Biconnected Component"
MEDIUM,Valid Sudoku,0,0.624,https://leetcode.com/problems/valid-sudoku,"Array, Hash Table, Matrix"
MEDIUM,Find Latest Group of Size M,0,0.431,https://leetcode.com/problems/find-latest-group-of-size-m,"Array, Hash Table, Binary Search, Simulation"
MEDIUM,Recover Binary Search Tree,0,0.565,https://leetcode.com/problems/recover-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Minimize Maximum of Array,0,0.4639999999999999,https://leetcode.com/problems/minimize-maximum-of-array,"Array, Binary Search, Dynamic Programming, Greedy, Prefix Sum"
MEDIUM,Best Time to Buy and Sell Stock with Cooldown,0,0.605,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-cooldown,"Array, Dynamic Programming"
HARD,Word Break II,0,0.537,https://leetcode.com/problems/word-break-ii,"Array, Hash Table, String, Dynamic Programming, Backtracking, Trie, Memoization"
MEDIUM,Search in Rotated Sorted Array,0,0.429,https://leetcode.com/problems/search-in-rotated-sorted-array,"Array, Binary Search"
MEDIUM,Spiral Matrix,0,0.541,https://leetcode.com/problems/spiral-matrix,"Array, Matrix, Simulation"
MEDIUM,Maximum Subarray Sum with One Deletion,0,0.452,https://leetcode.com/problems/maximum-subarray-sum-with-one-deletion,"Array, Dynamic Programming"
MEDIUM,Construct Binary Search Tree from Preorder Traversal,0,0.8340000000000001,https://leetcode.com/problems/construct-binary-search-tree-from-preorder-traversal,"Array, Stack, Tree, Binary Search Tree, Monotonic Stack, Binary Tree"
MEDIUM,Count Number of Nice Subarrays,0,0.7340000000000001,https://leetcode.com/problems/count-number-of-nice-subarrays,"Array, Hash Table, Math, Sliding Window, Prefix Sum"
HARD,Distinct Subsequences,0,0.502,https://leetcode.com/problems/distinct-subsequences,"String, Dynamic Programming"
MEDIUM,Can I Win,0,0.304,https://leetcode.com/problems/can-i-win,"Math, Dynamic Programming, Bit Manipulation, Memoization, Game Theory, Bitmask"
MEDIUM,Trim a Binary Search Tree,0,0.664,https://leetcode.com/problems/trim-a-binary-search-tree,"Tree, Depth-First Search, Binary Search Tree, Binary Tree"
MEDIUM,Non-overlapping Intervals,0,0.556,https://leetcode.com/problems/non-overlapping-intervals,"Array, Dynamic Programming, Greedy, Sorting"
MEDIUM,Best Time to Buy and Sell Stock with Transaction Fee,0,0.706,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-with-transaction-fee,"Array, Dynamic Programming, Greedy"
MEDIUM,Number of Ways to Arrive at Destination,0,0.374,https://leetcode.com/problems/number-of-ways-to-arrive-at-destination,"Dynamic Programming, Graph, Topological Sort, Shortest Path"
MEDIUM,Maximum Number of Vowels in a Substring of Given Length,0,0.605,https://leetcode.com/problems/maximum-number-of-vowels-in-a-substring-of-given-length,"String, Sliding Window"
MEDIUM,Maximum Xor Product,0,0.271,https://leetcode.com/problems/maximum-xor-product,"Math, Greedy, Bit Manipulation"
HARD,Best Time to Buy and Sell Stock IV,0,0.473,https://leetcode.com/problems/best-time-to-buy-and-sell-stock-iv,"Array, Dynamic Programming"
MEDIUM,Minimum Number of Operations to Make X and Y Equal,0,0.475,https://leetcode.com/problems/minimum-number-of-operations-to-make-x-and-y-equal,"Dynamic Programming, Breadth-First Search, Memoization"
HARD,Number of Ways to Reorder Array to Get Same BST,0,0.536,https://leetcode.com/problems/number-of-ways-to-reorder-array-to-get-same-bst,"Binary Search Tree, Memoization, Combinatorics, Binary Tree"
MEDIUM,Construct Binary Tree from Preorder and Inorder Traversal,0,0.669,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal,"Array, Hash Table, Divide and Conquer, Tree, Binary Tree"
EASY,Points That Intersect With Cars,0,0.7290000000000001,https://leetcode.com/problems/points-that-intersect-with-cars,"Array, Hash Table, Prefix Sum"
MEDIUM,Insert Interval,0,0.436,https://leetcode.com/problems/insert-interval,Array
EASY,Maximum Depth of N-ary Tree,0,0.73,https://leetcode.com/problems/maximum-depth-of-n-ary-tree,"Tree, Depth-First Search, Breadth-First Search"
MEDIUM,Combinations,0,0.73,https://leetcode.com/problems/combinations,Backtracking
HARD,Vertical Order Traversal of a Binary Tree,0,0.515,https://leetcode.com/problems/vertical-order-traversal-of-a-binary-tree,"Hash Table, Tree, Depth-First Search, Breadth-First Search, Sorting, Binary Tree"
MEDIUM,Subarray Product Less Than K,0,0.529,https://leetcode.com/problems/subarray-product-less-than-k,"Array, Binary Search, Sliding Window, Prefix Sum"
MEDIUM,Convert Sorted List to Binary Search Tree,0,0.6459999999999999,https://leetcode.com/problems/convert-sorted-list-to-binary-search-tree,"Divide and Conquer, Tree, Binary Search Tree, Binary Tree"
MEDIUM,Sort Colors,0,0.677,https://leetcode.com/problems/sort-colors,"Array, Two Pointers, Sorting"
MEDIUM,Peak Index in a Mountain Array,0,0.675,https://leetcode.com/problems/peak-index-in-a-mountain-array,"Array, Binary Search"
MEDIUM,Maximum Tastiness of Candy Basket,0,0.6629999999999999,https://leetcode.com/problems/maximum-tastiness-of-candy-basket,"Array, Binary Search, Greedy, Sorting"
MEDIUM,Shortest Path in Binary Matrix,0,0.499,https://leetcode.com/problems/shortest-path-in-binary-matrix,"Array, Breadth-First Search, Matrix"
MEDIUM,Number of Provinces,0,0.688,https://leetcode.com/problems/number-of-provinces,"Depth-First Search, Breadth-First Search, Union Find, Graph"
EASY,Best Time to Buy and Sell Stock,0,0.5529999999999999,https://leetcode.com/problems/best-time-to-buy-and-sell-stock,"Array, Dynamic Programming"
MEDIUM,Accounts Merge,0,0.597,https://leetcode.com/problems/accounts-merge,"Array, Hash Table, String, Depth-First Search, Breadth-First Search, Union Find, Sorting"
MEDIUM,Number of Islands,0,0.624,https://leetcode.com/problems/number-of-islands,"Array, Depth-First Search, Breadth-First Search, Union Find, Matrix"
HARD,The Skyline Problem,0,0.44,https://leetcode.com/problems/the-skyline-problem,"Array, Divide and Conquer, Binary Indexed Tree, Segment Tree, Line Sweep, Heap (Priority Queue), Ordered Set"
MEDIUM,Product of the Last K Numbers,0,0.628,https://leetcode.com/problems/product-of-the-last-k-numbers,"Array, Math, Design, Data Stream, Prefix Sum"
MEDIUM,Group Anagrams,0,0.71,https://leetcode.com/problems/group-anagrams,"Array, Hash Table, String, Sorting"
HARD,Maximize the Minimum Powered City,0,0.332,https://leetcode.com/problems/maximize-the-minimum-powered-city,"Array, Binary Search, Greedy, Queue, Sliding Window, Prefix Sum"
MEDIUM,Majority Element II,0,0.545,https://leetcode.com/problems/majority-element-ii,"Array, Hash Table, Sorting, Counting"
